40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:37:03.0 (79448)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
14:37:03.0 (127081)|EXECUTION_STARTED
14:37:03.0 (132634)|CODE_UNIT_STARTED|[EXTERNAL]|aura
14:37:03.0 (445260)|HEAP_ALLOCATE|[72]|Bytes:3
14:37:03.0 (499396)|HEAP_ALLOCATE|[77]|Bytes:152
14:37:03.0 (522066)|HEAP_ALLOCATE|[342]|Bytes:408
14:37:03.0 (548691)|HEAP_ALLOCATE|[355]|Bytes:408
14:37:03.0 (573750)|HEAP_ALLOCATE|[467]|Bytes:48
14:37:03.0 (609856)|HEAP_ALLOCATE|[139]|Bytes:6
14:37:03.0 (637617)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:37:03.0 (647732)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:37:03.0 (667749)|CODE_UNIT_FINISHED|aura
14:37:03.0 (1562630)|EXECUTION_FINISHED
14:37:03.2 (2287870)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-07:00
14:37:03.2 (2306840)|EXECUTION_STARTED
14:37:03.2 (2309975)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FZDMn|AdhocLightningScheduler.getObjFields
14:37:03.2 (2363693)|VARIABLE_SCOPE_BEGIN|[3]|AdhocLightningScheduler.showFields|Boolean|false|true
14:37:03.2 (2448178)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:26
14:37:03.2 (2458166)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
14:37:03.2 (2463601)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:27
14:37:03.2 (2469434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
14:37:03.2 (2486766)|METHOD_ENTRY|[1]|01p2800000FZDMn|AdhocLightningScheduler.AdhocLightningScheduler()
14:37:03.2 (2495495)|STATEMENT_EXECUTE|[1]
14:37:03.2 (2501475)|STATEMENT_EXECUTE|[1]
14:37:03.2 (2503006)|STATEMENT_EXECUTE|[196]
14:37:03.2 (2504700)|STATEMENT_EXECUTE|[212]
14:37:03.2 (2510879)|METHOD_EXIT|[1]|AdhocLightningScheduler
14:37:03.2 (2518440)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:37:03.2 (2533337)|SYSTEM_MODE_ENTER|false
14:37:03.2 (2543072)|VARIABLE_SCOPE_BEGIN|[65]|so|String|false|false
14:37:03.2 (2571350)|VARIABLE_ASSIGNMENT|[65]|so|"Account"
14:37:03.2 (2585686)|STATEMENT_EXECUTE|[65]
14:37:03.2 (2587493)|STATEMENT_EXECUTE|[66]
14:37:03.2 (2590472)|HEAP_ALLOCATE|[66]|Bytes:3
14:37:03.2 (2612489)|HEAP_ALLOCATE|[66]|Bytes:10
14:37:03.2 (2655659)|HEAP_ALLOCATE|[50]|Bytes:5
14:37:03.2 (2683931)|HEAP_ALLOCATE|[56]|Bytes:5
14:37:03.2 (2694856)|HEAP_ALLOCATE|[64]|Bytes:7
14:37:03.2 (2754972)|USER_DEBUG|[66]|DEBUG|s==Account
14:37:03.2 (2769093)|STATEMENT_EXECUTE|[67]
14:37:03.2 (15336358)|HEAP_ALLOCATE|[67]|Bytes:1628
14:37:03.2 (15392562)|VARIABLE_SCOPE_BEGIN|[67]|objSchema|Schema.SObjectType|true|false
14:37:03.2 (15527048)|VARIABLE_ASSIGNMENT|[67]|objSchema|"common.apex.runtime.impl.ApexSObjectTypeToken@6c7c9f35"|0x6c7c9f35
14:37:03.2 (15535754)|STATEMENT_EXECUTE|[68]
14:37:03.2 (15784835)|HEAP_ALLOCATE|[68]|Bytes:4
14:37:03.2 (16402774)|HEAP_ALLOCATE|[68]|Bytes:296
14:37:03.2 (16415964)|VARIABLE_SCOPE_BEGIN|[68]|fieldMap|Map<String,Schema.SObjectField>|true|false
14:37:03.2 (16578956)|VARIABLE_ASSIGNMENT|[68]|fieldMap|"{acchierarchy__haschildwithchanges__c=accHierarchy__hasChildWithChanges__c, acchierarchy__hierarchy_parents__c=accHierarchy__Hierarchy_Parents__c, acchierarchy__on_previous_hierarchy_level__c=accHierarchy__On_Previous_Hierarchy_Level__c, acchierarchy__topparentid__c=accHierarchy__TopParentId__c, accountnumber=AccountNumber, accountsource=AccountSource, active__c=Active__c, annualrevenue=AnnualRevenue, billingaddress=BillingAddress, billingcity=BillingCity, ...}"|0x7c2d2ee1
14:37:03.2 (16593561)|STATEMENT_EXECUTE|[69]
14:37:03.2 (16643262)|HEAP_ALLOCATE|[69]|Bytes:4
14:37:03.2 (16676775)|VARIABLE_SCOPE_BEGIN|[69]|options|List<List<String>>|true|false
14:37:03.2 (16707921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:37:03.2 (16719188)|VARIABLE_ASSIGNMENT|[69]|options|[]|0x69705bf5
14:37:03.2 (16724554)|STATEMENT_EXECUTE|[70]
14:37:03.2 (16728512)|HEAP_ALLOCATE|[70]|Bytes:4
14:37:03.2 (16743634)|VARIABLE_SCOPE_BEGIN|[70]|l1|List<String>|true|false
14:37:03.2 (16762174)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:37:03.2 (16768201)|VARIABLE_ASSIGNMENT|[70]|l1|[]|0x3c8f324e
14:37:03.2 (16773396)|STATEMENT_EXECUTE|[71]
14:37:03.2 (16777410)|HEAP_ALLOCATE|[71]|Bytes:8
14:37:03.2 (16814734)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
