38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
14:22:46.0 (64285)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-08:00
14:22:46.0 (101570)|EXECUTION_STARTED
14:22:46.0 (106372)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FELrp|RecentlyViewedRecords.getRecentlyViewed
14:22:46.0 (251168)|HEAP_ALLOCATE|[72]|Bytes:3
14:22:46.0 (296921)|HEAP_ALLOCATE|[77]|Bytes:152
14:22:46.0 (314001)|HEAP_ALLOCATE|[342]|Bytes:408
14:22:46.0 (333649)|HEAP_ALLOCATE|[355]|Bytes:408
14:22:46.0 (351723)|HEAP_ALLOCATE|[467]|Bytes:48
14:22:46.0 (381873)|HEAP_ALLOCATE|[139]|Bytes:6
14:22:46.0 (443759)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
14:22:46.0 (447941)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:22:46.0 (455459)|METHOD_ENTRY|[1]|01p2800000FELrp|RecentlyViewedRecords.RecentlyViewedRecords()
14:22:46.0 (459610)|STATEMENT_EXECUTE|[1]
14:22:46.0 (465400)|STATEMENT_EXECUTE|[1]
14:22:46.0 (466764)|STATEMENT_EXECUTE|[19]
14:22:46.0 (472443)|METHOD_EXIT|[1]|RecentlyViewedRecords
14:22:46.0 (483618)|SYSTEM_MODE_ENTER|false
14:22:46.0 (491540)|STATEMENT_EXECUTE|[3]
14:22:46.0 (492895)|STATEMENT_EXECUTE|[4]
14:22:46.0 (584208)|HEAP_ALLOCATE|[4]|Bytes:4
14:22:46.0 (658751)|VARIABLE_SCOPE_BEGIN|[4]|rvList|List<RecentlyViewedRecords.RecentlyViewedWrapper>|true|false
14:22:46.0 (694985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:22:46.0 (725723)|VARIABLE_ASSIGNMENT|[4]|rvList|{"s":1,"v":[]}|0x1256cb47
14:22:46.0 (731539)|HEAP_ALLOCATE|[5]|Bytes:73
14:22:46.0 (742706)|HEAP_ALLOCATE|[5]|Bytes:4
14:22:46.0 (786175)|HEAP_ALLOCATE|[50]|Bytes:5
14:22:46.0 (808708)|HEAP_ALLOCATE|[56]|Bytes:5
