38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
17:13:28.0 (77463)|USER_INFO|[EXTERNAL]|00528000001JBjQ|ramu.veligeti@yahoo.co.in|Pacific Standard Time|GMT-08:00
17:13:28.0 (106526)|EXECUTION_STARTED
17:13:28.0 (110573)|CODE_UNIT_STARTED|[EXTERNAL]|01p2800000FELrp|RecentlyViewedRecords.getRecentlyViewed
17:13:28.0 (277320)|HEAP_ALLOCATE|[72]|Bytes:3
17:13:28.0 (316048)|HEAP_ALLOCATE|[77]|Bytes:152
17:13:28.0 (335265)|HEAP_ALLOCATE|[342]|Bytes:408
17:13:28.0 (355178)|HEAP_ALLOCATE|[355]|Bytes:408
17:13:28.0 (373459)|HEAP_ALLOCATE|[467]|Bytes:48
17:13:28.0 (401923)|HEAP_ALLOCATE|[139]|Bytes:6
17:13:28.0 (478030)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
17:13:28.0 (489075)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:13:28.0 (499588)|METHOD_ENTRY|[1]|01p2800000FELrp|RecentlyViewedRecords.RecentlyViewedRecords()
17:13:28.0 (504497)|STATEMENT_EXECUTE|[1]
17:13:28.0 (512203)|STATEMENT_EXECUTE|[1]
17:13:28.0 (514666)|STATEMENT_EXECUTE|[19]
17:13:28.0 (521326)|METHOD_EXIT|[1]|RecentlyViewedRecords
17:13:28.0 (533819)|SYSTEM_MODE_ENTER|false
17:13:28.0 (544264)|STATEMENT_EXECUTE|[3]
17:13:28.0 (545726)|STATEMENT_EXECUTE|[4]
17:13:28.0 (656311)|HEAP_ALLOCATE|[4]|Bytes:4
17:13:28.0 (736977)|VARIABLE_SCOPE_BEGIN|[4]|rvList|List<RecentlyViewedRecords.RecentlyViewedWrapper>|true|false
17:13:28.0 (776902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:13:28.0 (814280)|VARIABLE_ASSIGNMENT|[4]|rvList|{"s":1,"v":[]}|0x6c531292
17:13:28.0 (820493)|HEAP_ALLOCATE|[5]|Bytes:73
17:13:28.0 (831503)|HEAP_ALLOCATE|[5]|Bytes:4
17:13:28.0 (872283)|HEAP_ALLOCATE|[50]|Bytes:5
17:13:28.0 (894866)|HEAP_ALLOCATE|[56]|Bytes:5
17:13:28.0 (908588)|HEAP_ALLOCATE|[64]|Bytes:7
17:13:28.0 (1277264)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT Id, Name FROM RecentlyViewed 
17:13:28.0 (7724443)|SOQL_EXECUTE_END|[5]|Rows:12
17:13:28.0 (7749368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:52
17:13:28.0 (7977071)|HEAP_ALLOCATE|[5]|Bytes:49
17:13:28.0 (7986551)|HEAP_ALLOCATE|[5]|Bytes:8
17:13:28.0 (7996351)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
17:13:28.0 (7999978)|STATEMENT_EXECUTE|[7]
17:13:28.0 (8012312)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
17:13:28.0 (8020950)|HEAP_ALLOCATE|[5]|Bytes:28
17:13:28.0 (8088530)|HEAP_ALLOCATE|[5]|Bytes:52
17:13:28.0 (8104366)|HEAP_ALLOCATE|[5]|Bytes:8
